label,pattern,attr,replace,suffix_term
about,about,lower,about,
about,approx,lower,about,
about,approx.,lower,about,
about,approximate,lower,about,
about,ca,lower,about,
about,ca .,lower,about,
about,ca.,lower,about,
count_word,absent,lower,0,
count_word,decamerous,lower,10,
count_word,decamery,lower,10,
count_word,dimerous,lower,2,
count_word,dimery,lower,2,
count_word,double,lower,2,
count_word,heptamerous,lower,7,
count_word,heptamery,lower,7,
count_word,hexamerous,lower,6,
count_word,hexamery,lower,6,
count_word,monomerous,lower,1,
count_word,monomery,lower,1,
count_word,nonamerous,lower,9,
count_word,nonamery,lower,9,
count_word,octamerous,lower,8,
count_word,octamery,lower,8,
count_word,pentamerous,lower,5,
count_word,pentamery,lower,5,
count_word,simple,lower,1,
count_word,single,lower,1,
count_word,tetrad,lower,4,
count_word,tetramerous,lower,4,
count_word,tetramery,lower,4,
count_word,triad,lower,3,
count_word,trimerous,lower,3,
count_word,trimery,lower,3,
count_word,triple,lower,3,
cross,×,lower,×,
cross,x,lower,x,
dim,d.b.h.,lower,dbh,
dim,dbh,lower,dbh,
dim,dia,lower,diameter,
dim,dia.,lower,diameter,
dim,diam,lower,diameter,
dim,diam.,lower,diameter,
dim,diameter,lower,diameter,
dim,diameter at breast height,lower,dbh,
dim,diameter breast height,lower,dbh,
dim,diameters,lower,diameter,
dim,height,lower,height,
dim,high,lower,height,
dim,in dia,lower,diameter,
dim,in diam,lower,diameter,
dim,in diameter,lower,diameter,
dim,in height,lower,height,
dim,length,lower,length,
dim,long,lower,length,
dim,radius,lower,radius,
dim,tall,lower,height,
dim,thick,lower,thickness,
dim,thickness,lower,thickness,
dim,wide,lower,width,
dim,width,lower,width,
count_suffix,- carpellate,lower,carpellate,female_flower_part
count_suffix,-carpellate,lower,carpellate,female_flower_part
female_flower_part,apocarpus,lower,apocarpus,
female_flower_part,carpellate,lower,carpellate,
female_flower_part,compound pistil,lower,compound pistil,
female_flower_part,funicle,lower,funicle,
female_flower_part,funicles,lower,funicle,
female_flower_part,funiculus,lower,funiculus,
female_flower_part,gynoecia,lower,carpel,
female_flower_part,gynoecium,lower,carpel,
female_flower_part,locule,lower,locule,
female_flower_part,loculus,lower,loculus,
female_flower_part,multicarpellate,lower,multicarpellate,
female_flower_part,ovaries,lower,ovary,
female_flower_part,ovary,lower,ovary,
female_flower_part,ovule,lower,ovary,
female_flower_part,ovules,lower,ovary,
female_flower_part,pistil,lower,pistil,
female_flower_part,pistillode,lower,pistil,
female_flower_part,pistillodes,lower,pistil,
female_flower_part,pistils,lower,carpel,
female_flower_part,placenta,lower,placenta,
female_flower_part,seed-funicle,lower,seed-funicle,
female_flower_part,septa,lower,septum,
female_flower_part,septum,lower,septum,
female_flower_part,stigma,lower,stigma,
female_flower_part,stigmas,lower,stigma,
female_flower_part,unicarpellate,lower,unicarpellate,
flower_location,epigynous,lower,inferior,
flower_location,half-inferior,lower,inferior,
flower_location,hypogynous,lower,superior,
flower_location,inferior,lower,inferior,
flower_location,perigynous,lower,perigynous,
flower_location,superior,lower,superior,
flower_morphology,accrescent,lower,accrescent,
flower_morphology,anthesis,lower,anthesis,
count_suffix,- flowered,lower,flower,flower_part
flower_part,acephalous,lower,corona,
flower_part,achlamydeous,lower,achlamydeous,
flower_part,apetalous,lower,apetalous,
flower_part,bract,lower,bract,
flower_part,calyces,lower,calyx,
flower_part,calyx,lower,calyx,
inflorescence,capitula,lower,capitulum,
inflorescence,capitulum,lower,capitulum,
flower_part,carpel,lower,carpel,
flower_part,carpels,lower,carpel,
flower_part,claw,lower,claw,
flower_part,claws,lower,claw,
flower_part,corolla,lower,corolla,
flower_part,corollas,lower,corolla,
flower_part,corona,lower,corona,
flower_part,coronas,lower,coronas,
flower_part,disk,lower,disk,
flower_part,disks,lower,disk,
flower_part,epicalyces,lower,epicalyx,
flower_part,epicalyx,lower,epicalyx,
flower_part,fl,lower,flower,
flower_part,fl-buds,lower,flower-buds,
flower_part,fld,lower,flowered,
flower_part,floral axis,lower,floral axis,
flower_part,floral bracts,lower,bract,
flower_part,floral envelope,lower,floral envelope,
flower_part,floral leaves,lower,leaf,
flower_part,flower,lower,flower,
flower_part,flowering branch,lower,branch,
flower_part,flowering branches,lower,branch,
flower_part,flowering stem,lower,flowering stem,
flower_part,flowering stems,lower,flowering stem,
flower_part,flowers,lower,flower,
flower_part,fls,lower,flower,
flower_part,hypanthia,lower,hypanthium,
flower_part,hypanthium,lower,hypanthium,
flower_part,keel,lower,keel,
flower_part,keels,lower,keel,
flower_part,nectar disk,lower,nectar disk,
flower_part,nectaries,lower,nectary,
flower_part,nectary,lower,nectary,
flower_part,pedicel,lower,pedicel,
flower_part,pedicels,lower,pedicel,
flower_part,peduncle,lower,peduncle,
flower_part,perianth,lower,perianth,
flower_part,petal,lower,petal,
flower_part,petals,lower,petal,
flower_part,receptacle,lower,receptacle,
flower_part,sepal,lower,sepal,
flower_part,sepals,lower,sepal,
flower_part,tepal,lower,tepal,
flower_part,tepals,lower,tepal,
fruit_part,achaenocarp,lower,achaenocarp,
fruit_part,achene,lower,achene,
fruit_part,achenes,lower,achene,
fruit_part,beak,lower,beak,
fruit_part,beaks,lower,beak,
fruit_part,berries,lower,berry,
fruit_part,berry,lower,berry,
fruit_part,capsule,lower,capsule,
fruit_part,capsules,lower,capsule,
fruit_part,caryopsis,lower,caryopsis,
fruit_part,circumscissile,lower,circumscissile,
fruit_part,cotyledon,lower,cotyledon,
fruit_part,cotyledons,lower,cotyledon,
fruit_part,dehiscent,lower,dehiscent,
fruit_part,drupe,lower,drupe,
fruit_part,drupes,lower,drupes,
fruit_part,endocarp,lower,endocarp,
fruit_part,exocarp,lower,exocarp,
fruit_part,fruit,lower,fruit,
fruit_part,fruiting perianth,lower,perianth,
fruit_part,fruits,lower,fruit,
fruit_part,hilum,lower,hilum,
fruit_part,indehiscent,lower,indehiscent,
fruit_part,infructescence,lower,infructescence,
fruit_part,infructescences,lower,infructescence,
fruit_part,legume,lower,legume,
fruit_part,legumes,lower,legume,
fruit_part,mesocarp,lower,mesocarp,
fruit_part,nut,lower,nut,
fruit_part,nutlet,lower,nutlet,
fruit_part,nutlets,lower,nutlet,
fruit_part,nuts,lower,nut,
fruit_part,pepo,lower,pepo,
fruit_part,pepos,lower,pepo,
fruit_part,pericarp,lower,pericarp,
fruit_part,pleurogram,lower,pleurogram,
fruit_part,pod,lower,pod,
fruit_part,pods,lower,pod,
fruit_part,pome,lower,pome,
fruit_part,pomes,lower,pome,
fruit_part,pyrena,lower,pyrena,
fruit_part,replum,lower,replum,
fruit_part,samara,lower,samara,
fruit_part,sarcotesta,lower,sarcotesta,
fruit_part,sclerotesta,lower,sclerotesta,
fruit_part,seed,lower,seed,
fruit_part,seed-testa,lower,testa,
fruit_part,seedpod,lower,seedpod,
fruit_part,seedpods,lower,seedpod,
fruit_part,seeds,lower,seed,
fruit_part,suture,lower,suture,
fruit_part,testa,lower,testa,
fruit_part,utricle ,lower,utricle ,
habitat,lithophyte,lower,lithophytic,
habitat,lithophytic,lower,lithophytic,
habitat,parasite,lower,parasitic,
inflorescence,anthela,lower,anthela,
inflorescence,bostryx,lower,bostryx,
inflorescence,calathid,lower,calathid,
inflorescence,catkin,lower,catkin,
inflorescence,catkins,lower,catkin,
inflorescence,cincinnus,lower,cincinnus,
inflorescence,compound capitulum,lower,compound capitulum,
inflorescence,compound raceme,lower,compound raceme,
inflorescence,compound spike,lower,compound spike,
inflorescence,compound spikes,lower,compound spikes,
inflorescence,compound umbel,lower,compound umbel,
inflorescence,corymb,lower,corymb,
inflorescence,cyathium,lower,cyathium,
inflorescence,cyme,lower,cyme,
inflorescence,cymes,lower,cyme,
inflorescence,cymose corymb,lower,cymose corymb,
inflorescence,dichasium,lower,dichasium,
inflorescence,double cyme ,lower,double cyme ,
inflorescence,double umbel,lower,double umbel,
inflorescence,drepanium,lower,drepanium,
inflorescence,false spike,lower,false spike,
inflorescence,fascicles,lower,fascicles,
inflorescence,fl-spikes,lower,flower-spikes,
inflorescence,glomerule,lower,glomerule,
inflorescence,glomerules,lower,glomerule,
inflorescence,head,lower,head,
inflorescence,heads,lower,head,
inflorescence,heterothetic,lower,heterothetic,
inflorescence,homeothetic,lower,homeothetic,
inflorescence,inflorescence,lower,inflorescence,
inflorescence,inflorescence-axes,lower,inflorescence-axes,
inflorescence,inflorescences,lower,inflorescence,
inflorescence,inflorescenses,lower,inflorescence,
inflorescence,monochasium,lower,monochasium,
inflorescence,panicle,lower,panicle,
inflorescence,panicles,lower,panicle,
inflorescence,pseudoraceme,lower,pseudoraceme,
inflorescence,pseudoracemes,lower,pseudoraceme,
inflorescence,raceme,lower,raceme,
inflorescence,racemes,lower,raceme,
inflorescence,rhipidium,lower,rhipidium,
inflorescence,solitary,lower,solitary,
inflorescence,spadix,lower,spadix,
inflorescence,spica,lower,spica,
inflorescence,spike,lower,spike,
inflorescence,spikes,lower,spikes,
inflorescence,syconium,lower,syconium,
inflorescence,thyrse,lower,thyrse,
inflorescence,thyrsoid,lower,thyrsoid,
inflorescence,triple umbel,lower,triple umbel,
inflorescence,umbel,lower,umbel,
inflorescence,verticil,lower,verticil,
inflorescence,verticillaster,lower,verticillaster,
leaf_duration,deciduous,lower,deciduous,
leaf_duration,evergreen,lower,evergreen,
duration,fugacious,lower,fugacious,
duration,marcescent,lower,marcescent,
duration,persistent,lower,persistent,
leaf_duration,semi-deciduous,lower,semi-deciduous,
leaf_duration,semi-evergreen,lower,semi-evergreen,
duration,subpersistent,lower,subpersistent,
leaf_folding,carinate,lower,carinate,
leaf_folding,conduplicate,lower,conduplicate,
leaf_folding,cucullate,lower,cucullate,
leaf_folding,involute,lower,involute,
leaf_folding,plicate,lower,plicate,
leaf_folding,reduplicate,lower,reduplicate,
leaf_folding,revolute,lower,revolute,
margin,corrugated,lower,corrugated,
margin,crenate,lower,crenate,
margin,crenulate,lower,crenulate,
margin,dentate,lower,dentate,
margin,denticulate,lower,denticulate,
margin,doubly serrate,lower,doubly serrate,
margin,entire,lower,entire,
margin,lobate,lower,lobate,
margin,lobulate,lower,lobulate,
margin,pluriseriate,lower,pluriseriate,
margin,pungent,lower,pungent,
margin,scalloped,lower,scalloped,
margin,serrate,lower,serrate,
margin,serrulate,lower,serrulate,
margin,spiny,lower,spiny,
margin,toothed,lower,toothed,
margin,undulate,lower,undulate,
margin,uniseriate,lower,uniseriate,
leaf_part,bathyphyll,lower,bathyphyll,
leaf_part,blade,lower,leaf,
leaf_part,blades,lower,leaf,
leaf_part,bracteole,lower,bract,
leaf_part,bracteoles,lower,bract,
leaf_part,bractlet,lower,bract,
leaf_part,bractlets,lower,bract,
leaf_part,bracts,lower,bract,
leaf_part,foliage,lower,foliage,
leaf_part,lamina,lower,lamina,
leaf_part,leaf,lower,leaf,
leaf_part,leaf blade,lower,leaf,
leaf_part,leaf blades,lower,leaf,
leaf_part,leaf-bracteate,lower,leaf-bracteate,
leaf_part,leaf-stalk,lower,leaf-stalk,
leaf_part,leaflet,lower,leaflet,
leaf_part,leaflet blade,lower,leaflet,
leaf_part,leaflet blades,lower,leaflet,
leaf_part,leaflets,lower,leaflet,
leaf_part,leaves,lower,leaf,
leaf_part,lf,lower,leaf,
leaf_part,lf-axes,lower,leaf-axis,
leaf_part,lf-stk,lower,leaf-stalk,
leaf_part,lf-stks,lower,leaf-stalk,
leaf_part,lft,lower,leaflet,
leaf_part,lfts,lower,leaflet,
leaf_part,ligule,lower,ligule,
leaf_part,lvd,lower,leaved,
leaf_part,lvs,lower,leaf,
venation,midrib,lower,midrib,
venation,midvein,lower,midrib,
leaf_part,perigonium,lower,perianth,
leaf_part,petiole,lower,petiole,
leaf_part,petiole blade,lower,petiole,
leaf_part,petiole blades,lower,petiole,
leaf_part,petioles,lower,petiole,
leaf_part,petiolule,lower,petiolule,
leaf_part,petiolules,lower,petiolule,
leaf_part,phyllode,lower,phyllode,
leaf_part,phyllodes,lower,phyllode,
part,pinna,lower,pinna,
part,pinna-rachis,lower,pinna-rachis,
part,pinna-rachises,lower,pinna-rachis,
leaf_part,pinnule,lower,pinnule,
leaf_part,pinnules,lower,pinnule,
leaf_part,pulvini,lower,pulvini,
leaf_part,pulvinule,lower,pulvinule,
leaf_part,pulvinus,lower,pulvinus,
part,rachis,lower,rachis,
venation,ribbed,lower,rib,
leaf_part,shade-leaf,lower,leaf,
leaf_part,shade-leaves,lower,leaf,
leaf_part,sheath,lower,sheath,
leaf_part,sheaves,lower,sheaves,
leaf_part,stipel,lower,stipel,
leaf_part,stipels,lower,stipels,
leaf_part,stipule,lower,stipule,
leaf_part,stipules,lower,stipule,
leaf_part,stipuloid,lower,stipuloid,
count_suffix,- foliolate,lower,lobe,subpart
count_suffix,- lobed,lower,lobe,subpart
count_suffix,-foliolate,lower,lobe,subpart
count_suffix,-lobed,lower,lobe,subpart
shape,acicular,lower,polygonal,
shape,acuminate,lower,acuminate,
shape,acute,lower,acute,
shape,acutifolius,lower,acutifolius,
shape,amplexicaul,lower,amplexicaul,
shape,aristate,lower,aristate,
shape,asymmetrical,lower,asymmetrical,
shape,attenuate,lower,attenuate,
shape,auricle,lower,auricle,
shape,auriculate,lower,auriculate,
shape,bifoliate,lower,bifoliate,
shape,bifoliolate,lower,bifoliolate,
shape,bigeminate,lower,bigeminate,
shape,bilobate,lower,bilobate,
subpart,bilobed,lower,bilobate,
shape,bipinnate,lower,bipinnate,
shape,bipinnatisect,lower,bipinnatisect,
shape,biternate,lower,biternate,
shape,caudate,lower,caudate,
shape,cirrate,lower,cirrate,
shape,cirrus,lower,cirrus,
shape,cordate,lower,cordate,
shape,cordiform,lower,cordiform,
shape,cuneate,lower,cuneate,
shape,cuspidate,lower,cuspidate,
shape,deltate,lower,deltoid,
shape,deltate-triangular,lower,deltate-triangular,
shape,deltoid,lower,deltoid,
shape,digitate,lower,digitate,
shape,elliptic,lower,elliptic,
shape,emarginate,lower,emarginate,
shape,ensiform,lower,linear,
shape,even-pinnate,lower,even-pinnate,
shape,falcate,lower,falcate,
shape,fenestrate,lower,fenestrate,
shape,filiform,lower,filiform,
venation,flabellate,lower,flabellate,
shape,flabelliorm,lower,flabellate,
shape,foliolate,lower,lobe,
shape,geminate,lower,geminate,
shape,hastate,lower,hastate,
shape,imparipinnate,lower,imparipinnate,
per_count,jugate,lower,pairs,
shape,laciniate,lower,laciniate,
shape,laminar,lower,laminar,
shape,lance-attenuate,lower,lance-attenuate,
shape,lance-elliptic,lower,lance-elliptic,
shape,lance-linear,lower,lance-linear,
shape,lanceolate,lower,lanceolate,
shape,linear,lower,linear,
shape,linear-attenuate,lower,linear-attenuate,
shape,linear-oblong,lower,linear-oblong,
subpart,lobe,lower,lobe,
subpart,lobed,lower,lobe,
subpart,lobes,lower,lobe,
shape,lorate,lower,lorate,
shape,lyrate,lower,lyrate,
shape,mucronate,lower,mucronate,
shape,multifid,lower,multifid,
shape,no lobes,lower,0,
shape,obcordate,lower,obcordate,
shape,oblanceolate,lower,oblanceolate,
shape,oblique,lower,oblique,
shape,oblong,lower,oblong,
shape,obovate,lower,obovate,
shape,obtuse,lower,obtuse,
shape,odd-pinnate,lower,odd-pinnate,
shape,orbicular,lower,orbicular,
shape,orbicular-ovate,lower,orbicular,
shape,orbiculate,lower,orbicular,
shape,ovate,lower,ovate,
shape,ovate-acuminate,lower,ovate-acuminate,
venation,palmate,lower,palmate,
margin,palmately lobed,lower,palmately lobed,
shape,palmatifid,lower,palmatifid,
shape,palmatipartite,lower,palmatipartite,
shape,palmatisect,lower,palmatisect,
shape,pandurate,lower,pandurate,
shape,paripinnate,lower,paripinnate,
shape,pedate,lower,pedate,
shape,peltate,lower,peltate,
shape,perfoliate,lower,perfoliate,
shape,perforate,lower,perforate,
shape,pinnate,lower,pinnate,
margin,pinnately lobed,lower,pinnately lobed,
shape,pinnatifid,lower,pinnatifid,
shape,pinnatipartite,lower,pinnatipartite,
shape,pinnatisect,lower,pinnatisect,
shape,pluripinnate,lower,pluripinnate,
shape,reniform,lower,reniform,
shape,reniform-angulate,lower,reniform-polygonal,
shape,retuse,lower,retuse,
shape,rhombic,lower,rhomboic,
shape,rhombic-oblong,lower,rhombic-oblong,
shape,rhombic-obovoid-lentiform,lower,rhombic-obovoid-lentiform,
shape,rhomboic,lower,rhomboic,
shape,rhomboid,lower,rhomboid,
shape,rhomboidal,lower,rhomboidal,
shape,round,lower,orbicular,
shape,rounded,lower,orbicular,
shape,roundish,lower,orbicular,
shape,sagittate,lower,sagittate,
shape,semiamplexicaul,lower,semiamplexicaul,
shape,semiterete,lower,semiterete,
margin,sinuate,lower,sinuate,
subpart,sinus,lower,sinus,
subpart,sinuses,lower,sinus,
shape,spathulate,lower,spathulate,
shape,spatulate,lower,spatulate,
shape,spear-shaped,lower,spear-shaped,
shape,spearshaped,lower,spear-shaped,
shape,subacute,lower,subacute,
shape,subobtuse,lower,subobtuse,
shape,subulate,lower,subulate,
shape,sword-shaped,lower,sword-shaped,
shape,swordshaped,lower,swordshaped,
shape,terete,lower,terete,
shape,ternate,lower,ternate,
shape,trifoliate,lower,trifoliate,
shape,trifoliolate,lower,trifoliolate,
shape,trilobed,lower,trilobed,
shape,tripinnate,lower,tripinnate,
shape,trullate,lower,trullate,
shape,truncate,lower,truncate,
shape,unifoliate,lower,unifoliate,
shape,unlobed,lower,unlobed,
location,abaxial,lower,abaxial,
location,above,lower,above,
location,adaxial,lower,adaxial,
location,adventitious,lower,adventitious,
location,axillary,lower,axillary,
location,basal,lower,basal,
location,basifixed,lower,basifixed,
location,basipetal,lower,basipetal,
location,beneath,lower,beneath,
location,cauline,lower,cauline,
location,distally,lower,distal,
location,dorsal,lower,dorsal,
location,dorsally,lower,dorsal,
location,externally,lower,externally,
location,facially,lower,facially,
location,hysteranthous,lower,hysteranthous,
location,hysteranthously,lower,hysteranthously,
location,infrapetiolar,lower,infrapetiolar,
location,infrastipular,lower,infrastipular,
location,interfoliolar,lower,interfoliolar,
location,interpinnal,lower,interpinnal,
location,lateral,lower,lateral,
location,mesophyllidious,lower,mesophyllidious,
location,petiolar,lower,petiolar,
location,proximally,lower,proximal,
location,radical,lower,radical,
location,stemonozone,lower,stemonozone,
location,style,lower,style,
location,subcentric,lower,subcentric,
location,subtended,lower,subtended,
location,subtending,lower,subtending,
location,terminal,lower,terminal,
location,transverse,lower,transverse,
location,ventral ,lower,ventral ,
location,ventrally,lower,ventral ,
male_flower_part,adelphous,lower,adelphous,
male_flower_part,androecia,lower,stamen,
male_flower_part,androecium,lower,stamen,
male_flower_part,anther,lower,anther,
male_flower_part,anthers,lower,anther,
male_flower_part,connective,lower,connective,
male_flower_part,diadelphous,lower,diadelphous,
male_flower_part,didynamous,lower,didynamous,
male_flower_part,epipetalous,lower,epipetalous,
male_flower_part,exserted,lower,exserted,
male_flower_part,filament,lower,filament,
male_flower_part,filaments,lower,filament,
male_flower_part,gynandrium,lower,gynandrium,
male_flower_part,gynostegium,lower,gynostegium,
male_flower_part,introrse,lower,introrse,
male_flower_part,monadelphous,lower,monadelphous,
male_flower_part,monodelphous,lower,monodelphous,
male_flower_part,pollen,lower,pollen,
male_flower_part,pollen sac,lower,pollen sac,
male_flower_part,pollen sacs,lower,pollen sac,
male_flower_part,poricidal,lower,poricidal,
male_flower_part,stamen,lower,stamen,
male_flower_part,stamens,lower,stamen,
male_flower_part,staminode,lower,stamen,
male_flower_part,staminodes,lower,stamen,
male_flower_part,staminodia,lower,staminodia,
male_flower_part,staminodial,lower,staminodial,
male_flower_part,syngenesious,lower,syngenesious,
male_flower_part,tetradynamous,lower,tetradynamous,
male_flower_part,translator,lower,translator,
male_flower_part,trinucleate,lower,trinucleate,
male_flower_part,versatile,lower,versatile,
margin_follower,constricted,lower,constricted,
margin_follower,crisped,lower,crisped,
margin_follower,margined,lower,margined,
margin_leader,coarsely,lower,coarsely,
margin_leader,remotely,lower,remotely,
margin_leader,thickened,lower,thickened,
odor,fragrant,lower,fragrant,
part,acutangular,lower,acutangular,
part,bark,lower,bark,
part,brachyblast,lower,brachyblast,
part,branch,lower,branch,
part,branches,lower,branch,
part,branchlet,lower,branch,
part,branchlets,lower,branch,
part,bud,lower,bud,
part,buds,lower,bud,
part,caudex,lower,caudex,
part,caudices,lower,caudex,
part,cladode,lower,cladode,
part,cladophyll,lower,cladophyll,
part,corm,lower,corm,
part,craspedium,lower,craspedium,
part,indumenta,lower,indumentum,
part,indumentum,lower,indumentum,
part,indumentums,lower,indumentum,
part,lenticel,lower,lenticel,
part,lenticels,lower,lenticel,
part,non-flowering branch,lower,branch,
part,non-flowering branches,lower,branch,
part,non-flowering stem,lower,stem,
part,non-flowering stems,lower,stem,
flower_part,peduncles,lower,peduncle,
part,pith,lower,pith,
part,plant,lower,plant,
part,plants,lower,plant,
part,root,lower,root,
part,roots,lower,root,
part,rootstock,lower,rootstock,
part,rootstocks,lower,rootstock,
part,runner,lower,runner,
part,runners,lower,runner,
part,setae,lower,setae,
part,setulae,lower,setulae,
part,shrub,lower,shrub,
part,shrubs,lower,shrub,
part,spicule,lower,spicule,
part,spicules,lower,spicule,
part,stalk,lower,stalk,
part,stalks,lower,stalk,
part,stem,lower,stem,
part,stems,lower,stem,
part,stk,lower,stalk,
part,stks,lower,stalk,
part,stock,lower,rootstock,
part,stolon,lower,stolon,
part,stolons,lower,stolons,
part,subshrub,lower,shrub,
part,subshrubs,lower,shrub,
part,tree,lower,tree,
part,trees,lower,tree,
part,trunk,lower,trunk,
part,trunks,lower,trunk,
part,twig,lower,twig,
part,twigs,lower,twig,
count_suffix,- paired,lower,pairs,count_group
count_suffix,-paired,lower,pairs,count_group
per_count,1 or more clusters,lower,cluster,
per_count,cluster,lower,cluster,
per_count,clusters,lower,cluster,
per_count,one or more clusters,lower,cluster,
per_count,pair,lower,pairs,
per_count,paired,lower,pairs,
per_count,pairs,lower,pairs,
per_count,per row,lower,per row,
per_count,per side,lower,per side,
per_count,row,lower,row,
per_count,rows,lower,rows,
plant_duration,annual,lower,annual,
plant_duration,biennial,lower,biennial,
plant_duration,monocarp,lower,monocarp,
plant_duration,monocarpic,lower,monocarpic,
plant_duration,perennial,lower,perennial,
plant_duration,semelparous,lower,semelparous,
plant_habit,acaulescent,lower,acaulescent,
plant_habit,acid plant,lower,acid plant,
plant_habit,arborescent,lower,arborescent,
plant_habit,ascending,lower,ascending,
plant_habit,assurgent,lower,assurgent,
plant_habit,branching,lower,branching,
plant_habit,caducous,lower,caducous,
plant_habit,caespitose,lower,cespitose,
plant_habit,caulescent,lower,caulescent,
plant_habit,cespitose,lower,cespitose,
plant_habit,climbing,lower,climbing,
plant_habit,creeping,lower,creeping,
plant_habit,decumbent,lower,decumbent,
plant_habit,deflexed,lower,deflexed,
plant_habit,determinate growth,lower,determinate growth,
plant_habit,dimorphic,lower,dimorphic,
plant_habit,ecad,lower,ecad,
plant_habit,ecotone,lower,ecotone,
plant_habit,ectogenesis,lower,ectogenesis,
plant_habit,ectoparasite,lower,ectoparasite,
plant_habit,epigeal,lower,epigeal,
plant_habit,epigean,lower,epigean,
plant_habit,epigeic,lower,epigeic,
plant_habit,epigeous,lower,epigeous,
plant_habit,epilithic,lower,epilithic,
plant_habit,epiphloedal,lower,epiphloedal,
plant_habit,epiphloedic,lower,epiphloedic,
plant_habit,epiphyllous,lower,epiphyllous,
plant_habit,epiphyte,lower,epiphytic,
plant_habit,epiphytic,lower,epiphytic,
plant_habit,equinoctial,lower,equinoctial,
plant_habit,eupotamous,lower,eupotamous,
plant_habit,euryhaline,lower,euryhaline,
plant_habit,eurythermous,lower,eurythermous,
plant_habit,exclusive species,lower,exclusive species,
plant_habit,exotic,lower,exotic,
plant_habit,exsiccatus,lower,exsiccatus,
plant_habit,free-standing,lower,free-standing,
plant_habit,frutescent,lower,frutescent,
plant_habit,fruticose,lower,fruticose,
plant_habit,humifuse,lower,humifuse,
plant_habit,indeterminate growth,lower,indeterminate growth,
plant_habit,lax,lower,lax,
plant_habit,liana,lower,liana,
plant_habit,parasitic,lower,parasitic,
plant_habit,precocious,lower,precocious,
plant_habit,procumbent,lower,procumbent,
plant_habit,prostrate,lower,prostrate,
plant_habit,repent,lower,repent,
plant_habit,semi-erect,lower,semi-erect,
plant_habit,shrubby,lower,shrub,
plant_habit,subacaulescent,lower,acaulescent,
plant_habit,subcaulescent,lower,acaulescent,
plant_habit,subshrubby,lower,shrub,
plant_habit,suffrutescent,lower,suffrutescent,
plant_habit,upright,lower,upright,
plant_habit,vine,lower,vine,
plant_habit,vines,lower,vine,
plant_habit,virgate,lower,virgate,
plant_morphology,heteropmorphic,lower,heteropmorphic,
plant_morphology,homomorphic,lower,homomorphic,
quest,?,lower,?,
quest,(?),lower,(?),
reproduction,androdioecious,lower,androdioecious,
reproduction,androecious,lower,androecious,
reproduction,androgynomonoecious,lower,androgynomonoecious,
reproduction,androgynous,lower,androgynous,
reproduction,andromonoecious,lower,andromonoecious,
reproduction,dichogamous,lower,dichogamous,
reproduction,dioecious,lower,dioecious,
reproduction,gynodioecious,lower,gynodioecious,
reproduction,gynodioecy,lower,gynodioecy,
reproduction,gynoecious,lower,gynoecious,
reproduction,gynomonoecious,lower,gynomonoecious,
reproduction,hermaphrodite,lower,hermaphrodite,
reproduction,hermaphroditic,lower,hermaphrodite,
reproduction,monoecious,lower,monoecious,
reproduction,polygamodioecious,lower,polygamodioecious,
